Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-17T09:33:31.034Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-17T09:33:04.477Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-17T09:27:37.481Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-17T09:23:22.242Z","Included","auto","No","0","0","0","0","0","Included"
"2026-03-17T07:48:17.675Z","Included","auto","No","0","26634","367616","493","394743","Included"
"2026-03-17T07:40:37.492Z","Included","auto","No","0","201473","2673408","7884","2882765","Included"
"2026-03-17T07:38:02.122Z","Included","auto","No","0","167440","14592","2164","184196","Included"
"2026-03-17T07:18:58.937Z","Included","auto","No","0","4454","352128","1558","358140","Included"
"2026-03-17T07:15:48.797Z","Included","auto","No","0","325525","379264","2800","707589","Included"
"2026-03-17T06:34:20.232Z","Included","auto","No","0","707","48896","999","50602","Included"
"2026-03-17T06:28:05.391Z","Included","auto","No","0","2249","46720","1589","50558","Included"
"2026-03-17T06:23:56.655Z","Included","auto","No","0","8997","182272","1240","192509","Included"
"2026-03-17T06:17:14.011Z","Included","auto","No","0","7852","383488","3833","395173","Included"
"2026-03-17T06:15:31.132Z","Included","auto","No","0","26818","51584","986","79388","Included"
"2026-03-17T06:11:47.139Z","Included","auto","No","0","2818","148224","1297","152339","Included"
"2026-03-17T06:09:55.749Z","Included","auto","No","0","13956","21760","1541","37257","Included"
"2026-03-17T06:07:09.036Z","Included","auto","No","0","18446","61312","3470","83228","Included"
"2026-03-17T06:05:40.563Z","Included","auto","No","0","156650","185856","3225","345731","Included"
"2026-03-17T05:53:09.935Z","Included","auto","No","0","151177","180096","1284","332557","Included"
"2026-03-17T05:46:46.267Z","Included","auto","No","0","27579","352640","1043","381262","Included"
"2026-03-17T05:43:42.497Z","Included","auto","No","0","55576","182528","978","239082","Included"
"2026-03-17T05:41:51.116Z","Included","auto","No","0","10179","386816","5761","402756","Included"
"2026-03-17T05:39:22.718Z","Included","auto","No","0","15726","183680","2039","201445","Included"
"2026-03-17T05:37:48.238Z","Included","auto","No","0","150510","14592","374","165476","Included"
"2026-03-17T05:37:08.627Z","Included","auto","No","0","93143","130944","1151","225238","Included"
